['0.40', '0.46', '0.48', '0.50', '0.42', '0.35', '0.44', 'cp']
['0.00', '0.38', '0.48', '0.50', '0.42', '0.48', '0.55', 'cp']
['0.25', '0.48', '0.48', '0.50', '0.44', '0.17', '0.29', 'cp']
['0.17', '0.38', '0.48', '0.50', '0.45', '0.42', '0.50', 'cp']
['0.29', '0.30', '0.48', '0.50', '0.45', '0.03', '0.17', 'cp']
['0.34', '0.51', '0.48', '0.50', '0.44', '0.37', '0.46', 'cp']
['0.41', '0.43', '0.48', '0.50', '0.45', '0.31', '0.41', 'cp']
['0.25', '0.51', '0.48', '0.50', '0.37', '0.42', '0.50', 'cp']
['0.23', '0.40', '0.48', '0.50', '0.39', '0.28', '0.38', 'cp']
['0.28', '0.33', '0.48', '0.50', '0.45', '0.22', '0.33', 'cp']
['0.47', '0.29', '0.48', '0.50', '0.51', '0.33', '0.43', 'cp']
['0.35', '0.34', '0.48', '0.50', '0.46', '0.30', '0.27', 'cp']
['0.44', '0.34', '0.48', '0.50', '0.30', '0.33', '0.43', 'cp']
['0.29', '0.52', '0.48', '0.50', '0.42', '0.29', '0.39', 'cp']
['0.28', '0.38', '0.48', '0.50', '0.50', '0.33', '0.42', 'cp']
['0.23', '0.58', '0.48', '0.50', '0.37', '0.53', '0.59', 'cp']
['0.32', '0.42', '0.48', '0.50', '0.35', '0.28', '0.38', 'cp']
['0.38', '0.30', '0.48', '0.50', '0.43', '0.29', '0.39', 'cp']
['0.38', '0.44', '0.48', '0.50', '0.43', '0.20', '0.31', 'cp']
['0.23', '0.33', '0.48', '0.50', '0.43', '0.33', '0.43', 'cp']
['0.34', '0.55', '0.48', '0.50', '0.58', '0.31', '0.41', 'cp']
['0.42', '0.35', '0.48', '0.50', '0.58', '0.15', '0.27', 'cp']
['0.47', '0.28', '0.48', '0.50', '0.56', '0.20', '0.25', 'cp']
['0.36', '0.41', '0.48', '0.50', '0.48', '0.47', '0.54', 'cp']
['0.21', '0.51', '0.48', '0.50', '0.50', '0.32', '0.41', 'cp']
['0.34', '0.46', '0.48', '0.50', '0.52', '0.35', '0.44', 'cp']
['0.42', '0.38', '0.48', '0.50', '0.54', '0.34', '0.43', 'cp']
['0.43', '0.32', '0.48', '0.50', '0.33', '0.45', '0.52', 'cp']
['0.52', '0.36', '0.48', '0.50', '0.41', '0.28', '0.38', 'cp']
['0.34', '0.35', '0.48', '0.50', '0.51', '0.49', '0.56', 'cp']
['0.57', '0.54', '0.48', '0.50', '0.37', '0.28', '0.33', 'cp']
['0.42', '0.30', '0.48', '0.50', '0.48', '0.26', '0.36', 'cp']
['0.25', '0.40', '0.48', '0.50', '0.47', '0.33', '0.42', 'cp']
['0.16', '0.43', '0.48', '0.50', '0.54', '0.27', '0.37', 'cp']
['0.36', '0.56', '0.48', '0.50', '0.43', '0.45', '0.53', 'cp']
['0.54', '0.47', '0.48', '0.50', '0.28', '0.33', '0.42', 'cp']
['0.36', '0.45', '0.48', '0.50', '0.38', '0.79', '0.17', 'im']
['0.37', '0.47', '0.48', '0.50', '0.39', '0.76', '0.79', 'im']
['0.52', '0.39', '0.48', '0.50', '0.65', '0.71', '0.73', 'im']
['0.27', '0.35', '0.48', '0.50', '0.51', '0.77', '0.79', 'im']
['0.71', '0.40', '0.48', '0.50', '0.71', '0.70', '0.74', 'im']
['0.54', '0.57', '0.48', '0.50', '0.56', '0.81', '0.83', 'im']
['0.33', '0.37', '0.48', '0.50', '0.46', '0.65', '0.69', 'im']
['0.50', '0.66', '0.48', '0.50', '0.31', '0.92', '0.92', 'im']
['0.74', '0.44', '0.48', '0.50', '0.55', '0.88', '0.89', 'im']
['0.46', '0.59', '0.48', '0.50', '0.36', '0.76', '0.23', 'im']
['0.63', '0.75', '0.48', '0.50', '0.64', '0.73', '0.66', 'im']
['0.11', '0.50', '0.48', '0.50', '0.58', '0.72', '0.68', 'im']
['0.64', '0.58', '0.48', '0.50', '0.48', '0.78', '0.73', 'im']
['0.84', '0.44', '0.48', '0.50', '0.48', '0.71', '0.74', 'im']
['0.33', '0.45', '0.48', '0.50', '0.45', '0.88', '0.89', 'im']
['0.46', '0.61', '0.48', '0.50', '0.48', '0.86', '0.87', 'im']
['0.63', '0.54', '0.48', '0.50', '0.65', '0.79', '0.81', 'im']
['0.41', '0.51', '0.48', '0.50', '0.53', '0.75', '0.78', 'im']
['0.61', '0.47', '0.48', '0.50', '0.00', '0.80', '0.32', 'im']
['0.81', '0.53', '0.48', '0.50', '0.57', '0.87', '0.88', 'imU']
['0.81', '0.52', '0.48', '0.50', '0.57', '0.78', '0.80', 'imU']
['0.83', '0.48', '0.48', '0.50', '0.65', '0.76', '0.79', 'imU']
['0.79', '0.41', '0.48', '0.50', '0.66', '0.81', '0.83', 'imU']
['0.84', '0.49', '0.48', '0.50', '0.55', '0.78', '0.74', 'imU']
['0.79', '0.54', '0.48', '0.50', '0.50', '0.66', '0.68', 'imU']
['0.66', '0.48', '0.48', '0.50', '0.54', '0.70', '0.74', 'imU']
['0.59', '0.29', '0.48', '0.50', '0.64', '0.75', '0.77', 'imU']
['0.87', '0.49', '0.48', '0.50', '0.61', '0.76', '0.79', 'imU']
['0.52', '0.81', '0.48', '0.50', '0.72', '0.38', '0.38', 'om']
['0.56', '0.68', '0.48', '0.50', '0.77', '0.36', '0.45', 'om']
['0.64', '0.57', '0.48', '0.50', '0.70', '0.33', '0.26', 'om']
['0.67', '0.84', '0.48', '0.50', '0.74', '0.54', '0.37', 'om']
