['13.89', '14.02', '0.888', '5.439', '3.199', '3.986', '4.738', '1']
['14.92', '14.43', '0.9006', '5.384', '3.412', '1.142', '5.088', '1']
['14.88', '14.57', '0.8811', '5.554', '3.333', '1.018', '4.956', '1']
['12.88', '13.5', '0.8879', '5.139', '3.119', '2.352', '4.607', '1']
['15.05', '14.68', '0.8779', '5.712', '3.328', '2.129', '5.36', '1']
['14.7', '14.21', '0.9153', '5.205', '3.466', '1.767', '4.649', '1']
['13.74', '14.05', '0.8744', '5.482', '3.114', '2.932', '4.825', '1']
['14.11', '14.26', '0.8722', '5.52', '3.168', '2.688', '5.219', '1']
['15.11', '14.54', '0.8986', '5.579', '3.462', '3.128', '5.18', '1']
['11.42', '12.86', '0.8683', '5.008', '2.85', '2.7', '4.607', '1']
['14.16', '14.4', '0.8584', '5.658', '3.129', '3.072', '5.176', '1']
['14.03', '14.16', '0.8796', '5.438', '3.201', '1.717', '5.001', '1']
['12.72', '13.57', '0.8686', '5.226', '3.049', '4.102', '4.914', '1']
['13.54', '13.85', '0.8871', '5.348', '3.156', '2.587', '5.178', '1']
['15.26', '14.85', '0.8696', '5.714', '3.242', '4.543', '5.314', '1']
['12.78', '13.57', '0.8716', '5.262', '3.026', '1.176', '4.782', '1']
['14.01', '14.29', '0.8625', '5.609', '3.158', '2.217', '5.132', '1']
['12.73', '13.75', '0.8458', '5.412', '2.882', '3.533', '5.067', '1']
['15.36', '14.76', '0.8861', '5.701', '3.393', '1.367', '5.132', '1']
['14.33', '14.28', '0.8831', '5.504', '3.199', '3.328', '5.224', '1']
['15.01', '14.76', '0.8657', '5.789', '3.245', '1.791', '5.001', '1']
['14.09', '14.41', '0.8529', '5.717', '3.186', '3.92', '5.299', '1']
['13.22', '13.84', '0.868', '5.395', '3.07', '4.157', '5.088', '1']
['14.79', '14.52', '0.8819', '5.545', '3.291', '2.704', '5.111', '1']
['14.43', '14.4', '0.8751', '5.585', '3.272', '3.975', '5.144', '1']
['14.49', '14.61', '0.8538', '5.715', '3.113', '4.116', '5.396', '1']
['14.11', '14.1', '0.8911', '5.42', '3.302', '2.7', '5', '1']
['14.38', '14.21', '0.8951', '5.386', '3.312', '2.462', '4.956', '1']
['13.8', '14.04', '0.8794', '5.376', '3.155', '1.56', '4.961', '1']
['13.16', '13.82', '0.8662', '5.454', '2.975', '0.8551', '5.056', '1']
['15.26', '14.84', '0.871', '5.763', '3.312', '2.221', '5.22', '1']
['13.84', '13.94', '0.8955', '5.324', '3.379', '2.259', '4.805', '1']
['15.38', '14.77', '0.8857', '5.662', '3.419', '1.999', '5.222', '1']
['14.37', '14.39', '0.8726', '5.569', '3.153', '1.464', '5.3', '1']
['14.29', '14.09', '0.905', '5.291', '3.337', '2.699', '4.825', '1']
['16.23', '15.18', '0.885', '5.872', '3.472', '3.769', '5.922', '2']
['19.11', '16.26', '0.9081', '6.154', '3.93', '2.936', '6.079', '2']
['18.89', '16.23', '0.9008', '6.227', '3.769', '3.639', '5.966', '2']
['18.55', '16.22', '0.8865', '6.153', '3.674', '1.738', '5.894', '2']
['18.98', '16.66', '0.859', '6.549', '3.67', '3.691', '6.498', '2']
['19.15', '16.45', '0.889', '6.245', '3.815', '3.084', '6.185', '2']
['19.14', '16.61', '0.8722', '6.259', '3.737', '6.682', '6.053', '2']
['18.85', '16.17', '0.9056', '6.152', '3.806', '2.843', '6.2', '2']
['17.99', '15.86', '0.8992', '5.89', '3.694', '2.068', '5.837', '2']
['16.17', '15.38', '0.8588', '5.762', '3.387', '4.286', '5.703', '2']
['17.32', '15.91', '0.8599', '6.064', '3.403', '3.824', '5.922', '2']
['20.71', '17.23', '0.8763', '6.579', '3.814', '4.451', '6.451', '2']
['20.03', '16.9', '0.8811', '6.493', '3.857', '3.063', '6.32', '2']
['18.95', '16.42', '0.8829', '6.248', '3.755', '3.368', '6.148', '2']
['17.36', '15.76', '0.8785', '6.145', '3.574', '3.526', '5.971', '2']
['19.13', '16.31', '0.9035', '6.183', '3.902', '2.109', '5.924', '2']
['18.94', '16.32', '0.8942', '6.144', '3.825', '2.908', '5.949', '2']
['18.17', '16.26', '0.8637', '6.271', '3.512', '2.853', '6.273', '2']
['19.51', '16.71', '0.878', '6.366', '3.801', '2.962', '6.185', '2']
['17.26', '15.73', '0.8763', '5.978', '3.594', '4.539', '5.791', '2']
['16.77', '15.62', '0.8638', '5.927', '3.438', '4.92', '5.795', '2']
['18.83', '16.29', '0.8917', '6.037', '3.786', '2.553', '5.879', '2']
['15.6', '15.11', '0.858', '5.832', '3.286', '2.725', '5.752', '2']
['15.38', '14.9', '0.8706', '5.884', '3.268', '4.462', '5.795', '2']
['19.46', '16.5', '0.8985', '6.113', '3.892', '4.308', '6.009', '2']
['17.12', '15.55', '0.8892', '5.85', '3.566', '2.858', '5.746', '2']
['20.16', '17.03', '0.8735', '6.513', '3.773', '1.91', '6.185', '2']
['19.57', '16.74', '0.8779', '6.384', '3.772', '1.472', '6.273', '2']
['18.27', '16.09', '0.887', '6.173', '3.651', '2.443', '6.197', '2']
['15.57', '15.15', '0.8527', '5.92', '3.231', '2.64', '5.879', '2']
['18.36', '16.52', '0.8452', '6.666', '3.485', '4.933', '6.448', '2']
['15.99', '14.89', '0.9064', '5.363', '3.582', '3.336', '5.144', '2']
['17.55', '15.66', '0.8991', '5.791', '3.69', '5.366', '5.661', '2']
['18.45', '16.12', '0.8921', '6.107', '3.769', '2.235', '5.794', '2']
['18.3', '15.89', '0.9108', '5.979', '3.755', '2.837', '5.962', '2']
['12.76', '13.38', '0.8964', '5.073', '3.155', '2.828', '4.83', '3']
['11.27', '12.86', '0.8563', '5.091', '2.804', '3.985', '5.001', '3']
['12.11', '13.27', '0.8639', '5.236', '2.975', '4.132', '5.012', '3']
['10.79', '12.93', '0.8107', '5.317', '2.648', '5.462', '5.194', '3']
['12.1', '13.15', '0.8793', '5.105', '2.941', '2.201', '5.056', '3']
['10.82', '12.83', '0.8256', '5.18', '2.63', '4.853', '5.089', '3']
['11.26', '13.01', '0.8355', '5.186', '2.71', '5.335', '5.092', '3']
['11.43', '13.13', '0.8335', '5.176', '2.719', '2.221', '5.132', '3']
['12.7', '13.41', '0.8874', '5.183', '3.091', '8.456', '5', '3']
['13.37', '13.78', '0.8849', '5.32', '3.128', '4.67', '5.091', '3']
['12.19', '13.2', '0.8783', '5.137', '2.981', '3.631', '4.87', '3']
['12.01', '13.52', '0.8249', '5.405', '2.776', '6.992', '5.27', '3']
['11.14', '12.79', '0.8558', '5.011', '2.794', '6.388', '5.049', '3']
['11.36', '13.05', '0.8382', '5.175', '2.755', '4.048', '5.263', '3']
['11.23', '12.82', '0.8594', '5.089', '2.821', '7.524', '4.957', '3']
['11.82', '13.4', '0.8274', '5.314', '2.777', '4.471', '5.178', '3']
['11.27', '12.97', '0.8419', '5.088', '2.763', '4.309', '5', '3']
['11.83', '13.23', '0.8496', '5.263', '2.84', '5.195', '5.307', '3']
['12.7', '13.71', '0.8491', '5.386', '2.911', '3.26', '5.316', '3']
['12.46', '13.41', '0.8706', '5.236', '3.017', '4.987', '5.147', '3']
['11.41', '12.95', '0.856', '5.09', '2.775', '4.957', '4.825', '3']
['12.55', '13.57', '0.8558', '5.333', '2.968', '4.419', '5.176', '3']
['11.02', '13', '0.8189', '5.325', '2.701', '6.735', '5.163', '3']
['12.19', '13.36', '0.8579', '5.24', '2.909', '4.857', '5.158', '3']
['11.23', '12.88', '0.8511', '5.14', '2.795', '4.325', '5.003', '3']
['11.87', '13.02', '0.8795', '5.132', '2.953', '3.597', '5.132', '3']
['12.38', '13.44', '0.8609', '5.219', '2.989', '5.472', '5.045', '3']
['12.49', '13.46', '0.8658', '5.267', '2.967', '4.421', '5.002', '3']
['12.26', '13.6', '0.8333', '5.408', '2.833', '4.756', '5.36', '3']
['13.34', '13.95', '0.862', '5.389', '3.074', '5.995', '5.307', '3']
['11.4', '13.08', '0.8375', '5.136', '2.763', '5.588', '5.089', '3']
['12.22', '13.32', '0.8652', '5.224', '2.967', '5.469', '5.221', '3']
['12.02', '13.33', '0.8503', '5.35', '2.81', '4.271', '5.308', '3']
['12.05', '13.41', '0.8416', '5.267', '2.847', '4.988', '5.046', '3']
['10.83', '12.96', '0.8099', '5.278', '2.641', '5.182', '5.185', '3']
